Reg_Metropolitana;Sub_Região;Linha;Operadora;Fantasia;Situacao;Tarifa;Inicio_Situacao;Denominacao_A;Denominacao_B;Via;Servico;Modo;ExtensaoAB;ExtensaoBA;Tipo_Veiculo;Frota_Excl_Du;Frota_Tot_Du;Frota_Excl_SA;Frota_Tot_SA;Frota_Excl_DF;Frota_Tot_DF;Viagem_DU_Ida;Viagem_DU_Volta;Viagem_SA_Ida;Viagem_SA_Volta;Viagem_DO_Ida;Viagem_DO_Volta;Tempo_Ciclo;Tempo_Ciclo_ida;Tempo_Ciclo_volta
RMSP;ÁREA 3             ;227;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;GUARULHOS (JARDIM LEBLON);SAO PAULO (METRO ARMENIA);GUARULHOS (BAIRRO DOS PIMENTAS);COMUM               ;RADIAL;"39,151";"37,865";MIDIÔNIBUS;13;13;8;8;5;5;57;58;45;48;41;41;190;90;90
RMSP;ÁREA 3             ;227DV1;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;GUARULHOS (JARDIM LEBLON);SAO PAULO (METRO ARMENIA);GUARULHOS (BAIRRO DOS PIMENTAS/UNIFESP);COMUM               ;RADIAL;"40,229";"39,931";MIDIÔNIBUS;0;1;0;0;0;0;1;1;0;0;0;0;190;90;90
RMSP;ÁREA 3             ;240;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"11,65";26/01/2020;MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA);SAO PAULO (TERMINAL RODOVIARIO DO TIETE);;SELETIVO            ;RADIAL;"36,891";"37,275";ÔNIBUS RODOVIÁRIO;6;6;5;5;3;3;14;12;8;12;6;9;130;60;60
RMSP;ÁREA 3             ;243;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"20,3";08/02/2020;SANTA ISABEL (MONTE SERRAT);SAO PAULO (TERMINAL RODOVIARIO TIETE);ARUJA (CENTRO) E SANTA ISABEL (CENTRO);SELETIVO            ;RADIAL;"61,83";"65,822";ÔNIBUS RODOVIÁRIO;1;1;0;0;0;0;1;2;0;0;0;0;180;85;85
RMSP;ÁREA 3             ;243DV1;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"20,3";08/02/2020;SANTA ISABEL (MONTE SERRAT);SAO PAULO (TERMINAL RODOVIARIO TIETE);SANTA ISABEL (CENTRO);SELETIVO            ;RADIAL;"57,822";"60,202";ÔNIBUS RODOVIÁRIO;0;1;0;0;0;0;1;0;0;0;0;0;150;70;70
RMSP;ÁREA 3             ;248;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"6,8";26/01/2020;GUARULHOS (PARQUE SANTOS DUMONT);SAO PAULO (METRO PENHA);;COMUM               ;RADIAL;"31,93";"31,971";MIDIÔNIBUS;4;4;3;3;2;2;20;20;17;17;12;12;240;110;120
RMSP;ÁREA 3             ;248;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"6,8";26/01/2020;GUARULHOS (PARQUE SANTOS DUMONT);SAO PAULO (METRO PENHA);;COMUM               ;RADIAL;"31,93";"31,971";ONIBUS URB.PORTA ESQUERDA;0;1;0;0;0;0;1;1;0;0;0;0;240;110;120
RMSP;ÁREA 3             ;249;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"5,4";28/03/2020;GUARULHOS (JARDIM PAULISTA);SAO PAULO (METRO PENHA);GUARULHOS (GOPOUVA E UNIMESP);COMUM               ;RADIAL;"19,542";"20,298";ONIBUS URB.PORTA ESQUERDA;13;13;9;9;5;5;72;72;54;54;30;30;165;80;75
RMSP;ÁREA 3             ;250;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"5,4";26/01/2020;GUARULHOS (COCAIA);SAO PAULO (METRO PENHA);GUARULHOS (JARDIM ITAPOA);COMUM               ;RADIAL;"21,12";"19,677";ONIBUS URB.PORTA ESQUERDA;9;9;7;7;6;6;51;51;42;42;35;35;185;95;80
RMSP;ÁREA 3             ;252;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"6,8";26/01/2020;GUARULHOS (JARDIM CUMBICA);SAO PAULO (METRO CARRAO);GUARULHOS (JARDIM MARIA DIRCE E CIDADE PARQUE ALVORADA);COMUM               ;RADIAL;"30,805";"28,523";MIDIÔNIBUS;6;6;6;6;5;5;29;29;33;33;28;28;220;105;105
RMSP;ÁREA 3             ;252;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"6,8";26/01/2020;GUARULHOS (JARDIM CUMBICA);SAO PAULO (METRO CARRAO);GUARULHOS (JARDIM MARIA DIRCE E CIDADE PARQUE ALVORADA);COMUM               ;RADIAL;"30,805";"28,523";ÔNIBUS URBANO;2;2;0;0;0;0;10;10;0;0;0;0;220;105;105
RMSP;ÁREA 3             ;253;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"5,4";26/01/2020;GUARULHOS (JARDIM PARAISO);SAO PAULO (METRO PENHA);AVENIDA GUARULHOS;COMUM               ;RADIAL;"20,432";"18,301";ONIBUS URB.PORTA ESQUERDA;10;10;6;6;5;5;50;50;36;36;30;30;170;85;75
RMSP;ÁREA 3             ;257;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"6,75";26/01/2020;GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO);SAO PAULO (METRO TATUAPE);;AEROPORTO SUBURBANO ;RADIAL;"26,235";"23,123";PADRON;6;6;6;6;6;6;39;38;39;38;39;38;110;55;45
RMSP;ÁREA 3             ;258;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;39;02/03/2020;GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO);SAO PAULO (AEROPORTO DE CONGONHAS);;AEROPORTO EXECUTIVO ;RADIAL;"42,867";"42,134";ÔNIBUS RODOVIÁRIO;4;4;4;4;4;4;18;18;18;18;18;18;190;90;90
RMSP;ÁREA 3             ;266;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"6,8";08/02/2020;GUARULHOS (INOCOOP);SAO PAULO (METRO ARMENIA);;COMUM               ;RADIAL;"33,849";"34,472";MIDIÔNIBUS;11;11;8;8;4;4;44;45;41;41;18;18;240;110;120
RMSP;ÁREA 3             ;266;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"6,8";08/02/2020;GUARULHOS (INOCOOP);SAO PAULO (METRO ARMENIA);;COMUM               ;RADIAL;"33,849";"34,472";ÔNIBUS URBANO;6;6;2;2;3;3;25;24;11;11;22;22;240;110;120
RMSP;ÁREA 3             ;266DV1;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"6,8";08/02/2020;GUARULHOS (INOCOOP);SAO PAULO (METRO ARMENIA);GUARULHOS (JARDIM MARIA DIRCE);COMUM               ;RADIAL;"34,851";"36,552";MIDIÔNIBUS;3;3;0;0;0;0;16;16;0;0;0;0;230;115;105
RMSP;ÁREA 3             ;281;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"6,25";26/01/2020;MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA);SAO PAULO (PEDRA BRANCA);ESTRADA DE SANTA INES;COMUM               ;RADIAL;"28,742";"28,822";ÔNIBUS URBANO;2;2;2;2;2;2;8;8;6;6;3;3;120;55;55
RMSP;ÁREA 3             ;292;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;GUARULHOS (JARDIM ANGELICA);SAO PAULO (METRO ARMENIA);;COMUM               ;RADIAL;"37,405";"36,001";MIDIÔNIBUS;13;13;7;7;5;5;57;59;43;49;41;41;170;80;80
RMSP;ÁREA 3             ;292DV1;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;GUARULHOS (JARDIM ANGELICA);SAO PAULO (METRO ARMENIA);GUARULHOS (UNIFESP);COMUM               ;RADIAL;"38,504";"37,944";MIDIÔNIBUS;0;1;0;0;0;0;3;2;0;0;0;0;180;85;85
RMSP;ÁREA 3             ;316;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;39;24/02/2020;GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO);SAO PAULO (CIRCUITO DOS HOTEIS);;AEROPORTO EXECUTIVO ;CIRCULAR;"74,372";0;ÔNIBUS RODOVIÁRIO;4;4;4;4;4;4;18;0;18;0;18;0;240;230;0
RMSP;ÁREA 3             ;319;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"5,4";26/01/2020;GUARULHOS (VILA ANY);SAO PAULO (METRO CORINTHIANS/ITAQUERA);GUARULHOS (BAIRRO DOS PIMENTAS);COMUM               ;RADIAL;"21,8";"22,6";MIDIÔNIBUS;6;6;7;7;5;5;34;34;47;47;35;35;170;80;80
RMSP;ÁREA 3             ;319;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"5,4";26/01/2020;GUARULHOS (VILA ANY);SAO PAULO (METRO CORINTHIANS/ITAQUERA);GUARULHOS (BAIRRO DOS PIMENTAS);COMUM               ;RADIAL;"21,8";"22,6";ÔNIBUS URBANO;2;2;0;0;0;0;13;13;0;0;0;0;170;80;80
RMSP;ÁREA 3             ;337;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"6,35";08/02/2020;GUARULHOS (TERMINAL METROPOLITANO TABOAO);SAO PAULO (TERMINAL RODOVIARIO TIETE);GUARULHOS (RECREIO SAO JORGE E VILA GALVAO) / SAO PAULO (JACANA);COMUM               ;RADIAL;"29,778";"29,048";MIDIÔNIBUS;6;7;0;0;3;3;29;29;0;0;19;19;170;80;80
RMSP;ÁREA 3             ;337;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"6,35";08/02/2020;GUARULHOS (TERMINAL METROPOLITANO TABOAO);SAO PAULO (TERMINAL RODOVIARIO TIETE);GUARULHOS (RECREIO SAO JORGE E VILA GALVAO) / SAO PAULO (JACANA);COMUM               ;RADIAL;"29,778";"29,048";ÔNIBUS URBANO;6;6;4;4;0;0;24;24;24;24;0;0;170;80;80
RMSP;ÁREA 3             ;337BI1;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"6,25";08/02/2020;GUARULHOS (RECREIO SAO JORGE);SAO PAULO (TERMINAL RODOVIARIO TIETE);GUARULHOS (VILA GALVAO) / SAO PAULO (JACANA);COMUM               ;RADIAL;"25,7";0;ÔNIBUS URBANO;0;3;0;0;0;0;3;0;0;0;0;0;85;80;0
RMSP;ÁREA 3             ;341;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;GUARULHOS (VILA ANY);SAO PAULO (METRO ARMENIA);;COMUM               ;RADIAL;"40,913";"37,538";ÔNIBUS URBANO;14;14;7;7;6;6;64;52;49;45;36;36;150;70;70
RMSP;ÁREA 3             ;341DV1;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;GUARULHOS (VILA ANY);SAO PAULO (METRO ARMENIA);GUARULHOS (UNIFESP);COMUM               ;RADIAL;"41,991";"39,604";ÔNIBUS URBANO;0;1;0;0;0;0;1;1;0;0;0;0;150;70;70
RMSP;ÁREA 3             ;342;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;GUARULHOS (JARDIM CUMBICA/PARQUE BRASILIA);SAO PAULO (METRO ARMENIA);;COMUM               ;RADIAL;"40,94";"35,568";MIDIÔNIBUS;15;15;7;7;5;5;65;66;51;51;40;40;170;80;80
RMSP;ÁREA 3             ;342DV1;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;GUARULHOS (JARDIM CUMBICA/PARQUE BRASILIA);SAO PAULO (METRO ARMENIA);GUARULHOS (JARDIM OTAWA);COMUM               ;RADIAL;"34,608";"36,348";MIDIÔNIBUS;0;3;0;0;0;0;3;2;0;0;0;0;200;95;95
RMSP;ÁREA 3             ;348;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"5,1";26/01/2020;ARUJA (TERMINAL RODOVIARIO DE ARUJA);ITAQUAQUECETUBA (JARDIM NOSSA SENHORA DAS GRACAS);;COMUM               ;CIRCULAR;"27,186";0;MIDIÔNIBUS;2;2;2;2;1;1;34;0;30;0;15;0;70;65;0
RMSP;ÁREA 3             ;349;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"5,1";26/01/2020;GUARULHOS (PARQUE BRASILIA);SAO PAULO (ITAIM PAULISTA);"GUARULHOS (LEBLON, PIMENTAS E M. FREIRE)";COMUM               ;CIRCULAR;"32,059";0;MIDIÔNIBUS;1;1;1;1;1;1;9;0;9;0;9;0;95;85;0
RMSP;ÁREA 3             ;353;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"5,1";26/01/2020;ARUJA (TERMINAL RODOVIARIO DE ARUJA);ITAQUAQUECETUBA (RESIDENCIAL VILLAGE);ITAQUAQUECETUBA (JARDIM CAIUBY);COMUM               ;CIRCULAR;"23,652";0;MIDIÔNIBUS;4;4;3;3;2;2;51;0;46;0;27;0;70;65;0
RMSP;ÁREA 3             ;354;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;GUARULHOS (BAIRRO DOS LAVRAS);SAO PAULO (METRO ARMENIA);GUARULHOS (BONSUCESSO);COMUM               ;RADIAL;"34,862";"36,532";MIDIÔNIBUS;2;2;0;0;4;4;3;3;0;0;32;32;140;65;65
RMSP;ÁREA 3             ;354;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;GUARULHOS (BAIRRO DOS LAVRAS);SAO PAULO (METRO ARMENIA);GUARULHOS (BONSUCESSO);COMUM               ;RADIAL;"34,862";"36,532";ÔNIBUS URBANO;8;8;5;5;0;0;43;43;36;36;0;0;140;65;65
RMSP;ÁREA 3             ;362;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"6,25";26/01/2020;ITAQUAQUECETUBA (JARDIM CALIFORNIA);GUARULHOS (JARDIM SANTA MENA);ARUJA (JARDIM EMILIA);COMUM               ;RADIAL;"29,331";"28,316";MIDIÔNIBUS;2;2;1;1;1;1;7;8;4;4;14;14;140;65;65
RMSP;ÁREA 3             ;362;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"6,25";26/01/2020;ITAQUAQUECETUBA (JARDIM CALIFORNIA);GUARULHOS (JARDIM SANTA MENA);ARUJA (JARDIM EMILIA);COMUM               ;RADIAL;"29,331";"28,316";ÔNIBUS URBANO;4;4;4;4;2;2;24;24;23;23;3;3;140;65;65
RMSP;ÁREA 3             ;363;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"5,1";26/01/2020;ARUJA (TERMINAL RODOVIARIO DE ARUJA);ARUJA (RECANTO PRIMAVERA);ITAQUAQUECETUBA;COMUM               ;CIRCULAR;"25,37";0;MIDIÔNIBUS;4;4;3;3;1;1;51;0;38;0;13;0;70;65;0
RMSP;ÁREA 3             ;375;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"11,65";26/01/2020;MAIRIPORA (TERRA PRETA);SAO PAULO (TERMINAL RODOVIARIO DO TIETE);;SELETIVO            ;RADIAL;"46,946";"51,094";ÔNIBUS RODOVIÁRIO;2;3;0;1;0;1;4;7;0;1;0;1;180;80;90
RMSP;ÁREA 3             ;384;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;ITAQUAQUECETUBA (JARDIM CALIFORNIA);SAO PAULO (METRO ARMENIA);;COMUM               ;RADIAL;"40,243";"37,573";ÔNIBUS URBANO;9;9;4;4;3;3;39;40;25;25;19;19;160;75;75
RMSP;ÁREA 3             ;408;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;GUARULHOS (CIDADE SOBERANA);SAO PAULO (METRO ARMENIA);GUARULHOS (BAIRRO DOS LAVRAS);COMUM               ;RADIAL;"35,322";"35,208";MIDIÔNIBUS;3;3;2;2;1;1;18;18;12;12;6;6;190;90;90
RMSP;ÁREA 3             ;427;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"11,2";08/02/2020;GUARULHOS (PARQUE CONTINENTAL II);SAO PAULO (PARAISO);;SELETIVO            ;RADIAL;"30,546";"31,566";ÔNIBUS RODOVIÁRIO;24;24;0;0;0;0;46;34;0;0;0;0;265;120;135
RMSP;ÁREA 3             ;443;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"5,4";26/01/2020;GUARULHOS (COCAIA);SAO PAULO (METRO PENHA);GUARULHOS (JARDIM ADRIANA E VILA HERMINIA);COMUM               ;RADIAL;"19,674";"19,617";MIDIÔNIBUS;6;6;3;3;2;2;33;33;15;15;6;6;175;85;80
RMSP;ÁREA 3             ;443;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"5,4";26/01/2020;GUARULHOS (COCAIA);SAO PAULO (METRO PENHA);GUARULHOS (JARDIM ADRIANA E VILA HERMINIA);COMUM               ;RADIAL;"19,674";"19,617";ÔNIBUS URBANO;6;6;3;3;2;2;21;21;18;18;17;17;175;85;80
RMSP;ÁREA 3             ;461;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"5,1";26/01/2020;ARUJA (TERMINAL RODOVIARIO DE ARUJA);GUARULHOS (NOVA BONSUCESSO);;COMUM               ;CIRCULAR;"24,206";0;MIDIÔNIBUS;3;3;2;2;1;1;35;0;30;0;12;0;70;65;0
RMSP;ÁREA 3             ;472;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;29;03/08/2020;GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO);SAO PAULO (TERMINAL RODOVIARIO BARRA FUNDA);SAO PAULO (TERMINAL RODOVIARIO TIETE);AEROPORTO EXECUTIVO ;RADIAL;"35,266";"34,374";ÔNIBUS RODOVIÁRIO;3;3;3;3;3;3;17;17;17;17;17;17;180;85;85
RMSP;ÁREA 3             ;473;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;ITAQUAQUECETUBA (PARQUE PIRATININGA II);SAO PAULO (METRO ARMENIA);GUARULHOS (VILA DINAMARCA);COMUM               ;RADIAL;"37,85";"35,446";ÔNIBUS URBANO;7;7;3;3;2;2;40;41;22;23;15;16;150;70;70
RMSP;ÁREA 3             ;478;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"6,25";26/01/2020;GUARULHOS (CONJUNTO PAES DE BARROS);SAO PAULO (METRO ARMENIA);;COMUM               ;RADIAL;"23,986";"24,534";MIDIÔNIBUS;6;6;2;2;1;1;32;34;18;18;10;10;165;75;80
RMSP;ÁREA 3             ;478BI1;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"6,25";26/01/2020;GUARULHOS (JARDIM DAS NACOES);SAO PAULO (METRO ARMENIA);GUARULHOS (CONJUNTO PAES DE BARROS);COMUM               ;RADIAL;"25,142";"25,81";MIDIÔNIBUS;0;3;0;0;0;0;6;4;0;0;0;0;170;75;85
RMSP;ÁREA 3             ;499;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"5,4";26/01/2020;GUARULHOS (TERMINAL METROPOLITANO CECAP);SAO PAULO (ESTACAO CPTM DOM BOSCO);;COMUM               ;RADIAL;"19,133";"20,803";MIDIÔNIBUS;8;8;4;4;3;3;45;46;34;35;29;30;150;70;70
RMSP;ÁREA 3             ;499;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"5,4";26/01/2020;GUARULHOS (TERMINAL METROPOLITANO CECAP);SAO PAULO (ESTACAO CPTM DOM BOSCO);;COMUM               ;RADIAL;"19,133";"20,803";ÔNIBUS URBANO;1;1;0;0;0;0;2;2;0;0;0;0;150;70;70
RMSP;ÁREA 3             ;500;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"5,1";26/01/2020;GUARULHOS (TERMINAL METROPOLITANO VILA GALVAO);SAO PAULO (TERMINAL RODOVIARIO TIETE);;COMUM               ;RADIAL;"12,4";"12,15";ÔNIBUS URBANO;3;3;3;3;2;2;23;23;23;23;15;15;90;40;40
RMSP;ÁREA 3             ;500DV1;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"5,1";26/01/2020;GUARULHOS (TERMINAL METROPOLITANO VILA GALVAO);SAO PAULO (TERMINAL RODOVIARIO TIETE);SAO PAULO (AVENIDA GUAPIRA);COMUM               ;RADIAL;"12,2";"11,95";ÔNIBUS URBANO;0;2;0;2;0;2;8;8;8;8;7;7;90;40;40
RMSP;ÁREA 3             ;501;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;ITAQUAQUECETUBA (PARQUE PIRATININGA);SAO PAULO (METRO ARMENIA);GUARULHOS (NORMANDIA);COMUM               ;RADIAL;"36,426";"35,3";ÔNIBUS URBANO;8;8;5;5;4;4;47;45;33;32;32;31;170;85;85
RMSP;ÁREA 3             ;512;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;ITAQUAQUECETUBA (PARQUE PIRATININGA);SAO PAULO (METRO ARMENIA);GUARULHOS (NORMANDIA) E RODOVIA AYRTON SENNA;COMUM               ;RADIAL;"40,458";"39,524";ÔNIBUS URBANO;1;4;0;3;0;0;7;7;4;4;0;0;210;100;100
RMSP;ÁREA 3             ;520;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;GUARULHOS (JARDIM LEBLON);SAO PAULO (METRO ARMENIA);RODOVIA AYRTON SENNA;COMUM               ;RADIAL;"42,126";"40,37";MIDIÔNIBUS;0;8;0;4;0;0;9;10;5;3;0;0;170;80;80
RMSP;ÁREA 3             ;521;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;GUARULHOS (JARDIM ANGELICA);SAO PAULO (METRO ARMENIA);RODOVIA AYRTON SENNA;COMUM               ;RADIAL;"37,571";"34,463";MIDIÔNIBUS;0;7;0;6;0;0;10;8;6;0;0;0;150;70;70
RMSP;ÁREA 3             ;522;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;GUARULHOS (JARDIM CUMBICA/PARQUE BRASILIA);SAO PAULO (METRO ARMENIA);RODOVIA AYRTON SENNA;COMUM               ;RADIAL;"31,603";"39,955";MIDIÔNIBUS;2;3;0;0;0;0;5;3;0;0;0;0;185;95;80
RMSP;ÁREA 3             ;523;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;GUARULHOS (JARDIM CUMBICA/PARQUE BRASILIA);SAO PAULO (METRO ARMENIA);RODOVIA PRESIDENTE DUTRA E RODOVIA AYRTON SENNA;COMUM               ;RADIAL;"42,058";"35,834";MIDIÔNIBUS;0;3;0;0;0;0;3;6;0;0;0;0;180;80;90
RMSP;ÁREA 3             ;525;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;GUARULHOS (JARDIM SANTA PAULA);SAO PAULO (METRO ARMENIA);GUARULHOS (BONSUCESSO);COMUM               ;RADIAL;"35,184";"36,458";MIDIÔNIBUS;2;2;0;0;1;1;4;4;0;0;8;8;140;65;65
RMSP;ÁREA 3             ;525;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,55";26/01/2020;GUARULHOS (JARDIM SANTA PAULA);SAO PAULO (METRO ARMENIA);GUARULHOS (BONSUCESSO);COMUM               ;RADIAL;"35,184";"36,458";ÔNIBUS URBANO;4;4;2;2;0;0;17;17;12;12;0;0;140;65;65
RMSP;ÁREA 3             ;529;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,8";26/01/2020;ARUJA (MIRANTE);SAO PAULO (METRO ARMENIA);;COMUM               ;RADIAL;"43,4";"43,2";ÔNIBUS URBANO;6;9;3;3;2;2;25;31;12;12;10;10;170;80;80
RMSP;ÁREA 3             ;530;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,8";26/01/2020;ARUJA (PARQUE RODRIGO BARRETO);SAO PAULO (METRO ARMENIA);;COMUM               ;RADIAL;"43,6";"42,8";ÔNIBUS URBANO;11;11;3;3;3;3;40;45;17;21;15;17;170;80;80
RMSP;ÁREA 3             ;532;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"5,9";26/01/2020;GUARULHOS (TERMINAL METROPOLITANO TABOAO);SAO PAULO (METRO TUCURUVI);GUARULHOS (RECREIO SAO JORGE E VILA GALVAO) / SAO PAULO (JACANA);COMUM               ;RADIAL;"22,512";"22,752";MIDIÔNIBUS;12;12;5;5;3;3;60;60;32;32;24;24;170;80;80
RMSP;ÁREA 3             ;535;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"6,25";26/01/2020;GUARULHOS (PARQUE CONTINENTAL III);SAO PAULO (METRO ARMENIA);GUARULHOS (ALAMEDA YAYA) E RODOVIA PRESIDENTE DUTRA;COMUM               ;RADIAL;"24,245";"23,278";ONIBUS URB.PORTA ESQUERDA;3;8;0;0;0;0;8;8;0;0;0;0;175;75;90
RMSP;ÁREA 3             ;537;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"7,05";26/01/2020;ARUJA (PARQUE RODRIGO BARRETO);GUARULHOS (JARDIM SANTA MENA);;COMUM               ;RADIAL;"33,418";"32,326";ÔNIBUS URBANO;5;5;4;4;3;3;32;37;19;21;17;17;150;70;70
RMSP;ÁREA 3             ;538;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"6,5";26/01/2020;ARUJA (CENTRO);GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO);;COMUM               ;CIRCULAR;"57,936";0;ÔNIBUS URBANO;2;2;1;1;0;0;12;0;6;0;0;0;90;85;0
RMSP;ÁREA 3             ;541;CONSÓRCIO INTERNORTE DE TRANSPORTES;INTERNORTE;EM OPERACAO;"5,4";26/01/2020;ARUJA (TERMINAL RODOVIARIO DE ARUJA);GUARULHOS (SHOPPING BONSUCESSO);ITAQUAQUECETUBA;COMUM               ;CIRCULAR;"41,362";0;MIDIÔNIBUS;2;2;2;2;2;2;17;0;17;0;16;0;125;115;0
